time,x,y,z,w0,w1,w2,w3,vx,vy,vz,roll,pitch,yaw
0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0
0,0.02777777777777778,0.0,0,0.0,0.0,-0.004222618403552268,0.9999910847071678,0.0,0.0,0.0,0,0,0.0
0,0.05555456497187878,-0.0002345878198707046,0,0.0,0.0,-0.008725766792713354,0.9999619297722685,0.0,0.0,0.0,0,0,0.0
0,0.08332811280487207,-0.0007193341865809504,0,0.0,0.0,-0.013516431317302619,0.9999086488697079,0.0,0.0,0.0,0,0,0.0
0,0.11109574092067455,-0.001470178440804521,0,0.0,0.0,-0.018499486777299904,0.9998288698517245,0.0,0.0,0.0,0,0,0.0
0,0.1388545058645066,-0.002497751827325892,0,0.0,0.0,-0.02374116933277185,0.9997181387164648,0.0,0.0,0.0,0,0,0.0
0,0.1666009701355462,-0.003816333917120953,0,0.0,0.0,-0.02927012937709805,0.9995715379732698,0.0,0.0,0.0,0,0,0.0
0,0.19433115122033776,-0.005441755485906647,0,0.0,0.0,-0.03501787841078375,0.999386686018784,0.0,0.0,0.0,0,0,0.0
0,0.2220408038976493,-0.007386000011260086,0,0.0,0.0,-0.040928122149947885,0.9991620933648748,0.0,0.0,0.0,0,0,0.0
0,0.2497255199430537,-0.009657879355973155,0,0.0,0.0,-0.04712080186051261,0.9988891980755534,0.0,0.0,0.0,0,0,0.0
0,0.2773799438337216,-0.012272793799480071,0,0.0,0.0,-0.053480062511833744,0.9985689174582445,0.0,0.0,0.0,0,0,0.0
0,0.30499882621781776,-0.015239656473260131,0,0.0,0.0,-0.06011230041513664,0.998191620551285,0.0,0.0,0.0,0,0,0.0
0,0.3325758546255289,-0.018573189504729627,0,0.0,0.0,-0.06686991144088977,0.9977617024840588,0.0,0.0,0.0,0,0,0.0
0,0.36010521101130044,-0.02227986932051965,0,0.0,0.0,-0.07375175748401093,0.9972766307640121,0.0,0.0,0.0,0,0,0.0
0,0.3875808042484126,-0.026366030665885148,0,0.0,0.0,-0.08089525436573784,0.9967226082622499,0.0,0.0,0.0,0,0,0.0
0,0.4149950241273628,-0.03084548227296606,0,0.0,0.0,-0.08815210586460716,0.996107025490552,0.0,0.0,0.0,0,0,0.0
